application_no,contract_ref,subcontractor,site,site_zone,period_from,period_to,application_date,application_total,retention,net_payable,adjustment,retention_released
PA-00011,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-03-07,2025-03-13,2025-03-17,205171.70,10258.58,194913.12,0.00,0.00
PA-00012,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-05-30,2025-06-15,2025-06-30,294800.12,14740.00,280060.12,0.00,0.00
PA-00013,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-02-22,2025-02-28,2025-03-10,327943.17,16397.15,311546.02,0.00,0.00
PA-00014,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-04-09,2025-04-16,2025-04-18,99707.63,4985.38,94722.25,0.00,0.00
PA-00015,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-06-15,2026-06-21,2026-07-02,19324.54,966.22,18358.32,0.00,0.00
PA-00016,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-04-29,2026-05-05,2026-05-08,85313.97,4265.69,81048.28,0.00,0.00
PA-00017,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-08-21,2025-08-27,2025-09-16,384353.07,19217.65,365135.42,0.00,0.00
PA-00018,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-02-15,2025-02-21,2025-03-09,184451.11,9222.55,175228.56,0.00,0.00
PA-00019,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-04-01,2025-04-12,2025-04-18,165251.80,8262.59,156989.21,0.00,0.00
PA-00020,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-09-28,2025-10-13,2025-10-25,177761.30,8888.06,168873.24,0.00,0.00
PA-00021,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-07-29,2026-08-10,2026-08-13,110645.68,5532.28,105113.40,0.00,0.00
PA-00022,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-10-29,2025-11-13,2025-11-19,215459.39,10772.96,204686.43,0.00,0.00
PA-00023,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-04-30,2026-05-07,2026-05-12,276223.49,13811.17,262412.32,0.00,0.00
PA-00024,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-03-09,2025-03-16,2025-03-30,118827.43,5941.37,112886.06,0.00,0.00
PA-00025,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-12-25,2026-01-10,2026-01-16,151798.04,7589.90,144208.14,0.00,0.00
PA-00026,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-05-07,2026-05-15,2026-05-23,152720.91,7636.04,145084.87,0.00,0.00
PA-00027,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-09-20,2025-10-07,2025-10-26,324789.51,16239.47,308550.04,0.00,0.00
PA-00028,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-08-24,2025-09-01,2025-09-17,371079.60,18553.98,352525.62,0.00,0.00
PA-00029,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-03-22,2026-03-27,2026-04-12,106471.96,5323.59,101148.37,0.00,0.00
PA-00030,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-03-10,2026-03-16,2026-04-04,115897.54,5794.87,110102.67,0.00,0.00
PA-00031,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-04-28,2025-05-03,2025-05-08,242445.44,12122.27,230323.17,0.00,0.00
PA-00032,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-02-16,2025-02-23,2025-03-02,101154.77,5057.73,96097.04,0.00,0.00
PA-00033,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-09-01,2025-09-07,2025-09-28,81767.72,4088.38,77679.34,0.00,0.00
PA-00034,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-08-13,2025-08-20,2025-08-29,238431.47,11921.57,226509.90,0.00,0.00
PA-00035,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-10-18,2025-10-29,2025-11-15,359855.92,17992.79,341863.13,0.00,0.00
PA-00036,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-09-27,2025-10-14,2025-10-30,220190.46,11009.52,209180.94,0.00,0.00
PA-00037,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-02-12,2025-02-27,2025-03-06,316124.79,15806.23,300318.56,0.00,0.00
PA-00038,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-03-20,2025-04-03,2025-04-13,281312.26,14065.61,267246.65,0.00,0.00
PA-00039,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-01-19,2025-02-03,2025-02-16,42092.11,2104.60,39987.51,0.00,0.00
PA-00040,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-01-12,2025-01-18,2025-01-23,408814.35,20440.71,388373.64,0.00,0.00
PA-00041,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-07-06,2026-07-13,2026-07-19,52135.88,2606.79,49529.09,0.00,0.00
PA-00042,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-01-11,2025-01-30,2025-02-13,233201.98,11660.09,221541.89,0.00,0.00
PA-00043,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-05-29,2025-06-10,2025-06-14,231457.44,11572.87,219884.57,0.00,0.00
PA-00044,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-01-28,2026-02-08,2026-02-19,133440.42,6672.02,126768.40,0.00,0.00
PA-00045,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-05-08,2026-05-16,2026-05-24,63622.54,3181.12,60441.42,0.00,0.00
PA-00046,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-07-10,2026-07-15,2026-07-27,51554.63,2577.73,48976.90,0.00,0.00
PA-00047,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-04-05,2026-04-14,2026-05-02,57680.46,2884.02,54796.44,0.00,0.00
PA-00048,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-03-07,2025-03-14,2025-03-25,86798.84,4339.94,82458.90,0.00,0.00
PA-00049,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-02-18,2026-02-26,2026-03-01,213248.92,10662.44,202586.48,0.00,0.00
PA-00050,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-08-13,2025-08-18,2025-08-28,59532.84,2976.64,56556.20,0.00,0.00
PA-00051,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-01-15,2026-01-25,2026-02-05,232405.77,11620.28,220785.49,0.00,0.00
PA-00052,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-01-26,2026-02-10,2026-02-14,102099.03,5104.95,96994.08,0.00,0.00
PA-00053,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-05-16,2025-05-24,2025-05-31,139614.60,6980.73,132633.87,0.00,0.00
PA-00054,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-05-08,2025-05-22,2025-06-04,355790.05,17789.50,338000.55,0.00,0.00
PA-00055,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-12-12,2025-12-20,2026-01-08,262814.74,13140.73,249674.01,0.00,0.00
PA-00056,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-09-13,2025-09-24,2025-10-10,259400.66,12970.03,246430.63,0.00,0.00
PA-00057,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-09-16,2025-09-29,2025-10-04,293385.88,14669.29,278716.59,0.00,0.00
PA-00058,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-01-11,2026-01-20,2026-02-03,219811.94,10990.59,208821.35,0.00,0.00
PA-00059,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-02-11,2025-02-20,2025-03-10,114454.74,5722.73,108732.01,0.00,0.00
PA-00060,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-12-23,2026-01-02,2026-01-08,49737.06,2486.85,47250.21,0.00,0.00
PA-00061,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-03-08,2025-03-24,2025-04-08,215464.54,10773.22,204691.32,0.00,0.00
PA-00062,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-02-16,2026-02-27,2026-03-14,413545.37,20677.26,392868.11,0.00,0.00
PA-00063,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-02-28,2025-03-04,2025-03-20,291959.69,14597.98,277361.71,0.00,0.00
PA-00064,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-11-25,2025-12-15,2026-01-02,61052.06,3052.60,57999.46,0.00,0.00
PA-00065,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-04-09,2025-04-21,2025-04-23,54950.32,2747.51,52202.81,0.00,0.00
PA-00066,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-02-13,2025-02-23,2025-03-15,138510.90,6925.54,131585.36,0.00,0.00
PA-00067,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-06-14,2025-06-26,2025-07-02,53011.60,2650.58,50361.02,0.00,0.00
PA-00068,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-04-17,2025-04-25,2025-05-07,275317.90,13765.89,261552.01,0.00,0.00
PA-00069,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-12-16,2025-12-23,2026-01-13,289175.71,14458.78,274716.93,0.00,0.00
PA-00070,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-03-24,2026-03-30,2026-04-03,226542.11,11327.10,215215.01,0.00,0.00
PA-00071,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-05-15,2026-05-23,2026-06-05,121209.70,6060.48,115149.22,0.00,0.00
PA-00072,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-08-04,2026-08-10,2026-08-20,271978.78,13598.93,258379.85,0.00,0.00
PA-00073,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-11-18,2025-11-30,2025-12-13,123367.66,6168.38,117199.28,0.00,0.00
PA-00074,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-11-29,2025-12-07,2025-12-17,297791.10,14889.55,282901.55,0.00,0.00
PA-00075,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-08-13,2025-08-19,2025-08-22,32631.96,1631.59,31000.37,0.00,0.00
PA-00076,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-02-06,2026-02-25,2026-02-28,102566.30,5128.31,97437.99,0.00,0.00
PA-00077,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-07-13,2026-07-22,2026-07-24,242074.15,12103.70,229970.45,0.00,0.00
PA-00078,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-12-15,2026-01-01,2026-01-18,94478.62,4723.93,89754.69,0.00,0.00
PA-00079,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-06-22,2026-06-30,2026-07-21,118205.44,5910.27,112295.17,0.00,0.00
PA-00080,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-05-17,2025-05-21,2025-05-25,77408.92,3870.44,73538.48,0.00,0.00
PA-00081,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-01-15,2025-01-30,2025-02-05,165066.97,8253.34,156813.63,0.00,0.00
PA-00082,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2026-08-09,2026-08-23,2026-09-05,412495.81,20624.79,391871.02,0.00,0.00
PA-00083,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-11-10,2025-11-28,2025-12-15,263602.73,13180.13,250422.60,0.00,0.00
PA-00084,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-12-18,2025-12-23,2026-01-10,29741.06,1487.05,28254.01,0.00,0.00
PA-00085,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-06-24,2025-06-28,2025-07-15,476983.95,23849.19,453134.76,0.00,0.00
PA-00086,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-07-01,2026-07-15,2026-07-19,98549.95,4927.49,93622.46,0.00,0.00
PA-00087,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-02-17,2026-02-25,2026-03-11,49737.54,2486.87,47250.67,0.00,0.00
PA-00088,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-03-21,2026-03-30,2026-04-07,88387.10,4419.35,83967.75,0.00,0.00
PA-00089,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-04-24,2025-05-01,2025-05-11,280143.23,14007.16,266136.07,0.00,0.00
PA-00090,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-01-15,2026-01-26,2026-02-03,119591.35,5979.56,113611.79,0.00,0.00
PA-00091,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-01-12,2026-01-23,2026-02-03,213316.93,10665.84,202651.09,0.00,0.00
PA-00092,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-07-04,2025-07-17,2025-07-23,523256.30,26162.81,497093.49,0.00,0.00
PA-00093,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-11-15,2025-11-20,2025-11-30,141605.38,7080.26,134525.12,0.00,0.00
PA-00094,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-04-29,2025-05-13,2025-05-18,133870.76,6693.53,127177.23,0.00,0.00
PA-00095,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-07-29,2025-08-10,2025-08-26,184917.87,9245.89,175671.98,0.00,0.00
PA-00096,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-12-13,2025-12-24,2026-01-09,205766.25,10288.31,195477.94,0.00,0.00
PA-00097,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-06-03,2026-06-10,2026-06-26,43878.70,2193.93,41684.77,0.00,0.00
PA-00098,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-04-21,2025-04-27,2025-05-06,31623.90,1581.19,30042.71,0.00,0.00
PA-00099,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-07-22,2026-07-26,2026-08-07,162901.09,8145.05,154756.04,0.00,0.00
PA-00100,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-04-22,2025-04-29,2025-05-04,87188.26,4359.41,82828.85,0.00,0.00
PA-00101,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-07-09,2026-07-19,2026-07-22,385551.53,19277.57,366273.96,0.00,0.00
PA-00102,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-12-25,2026-01-04,2026-01-11,278959.23,13947.96,265011.27,0.00,0.00
PA-00103,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-05-29,2025-06-07,2025-06-27,50263.84,2513.19,47750.65,0.00,0.00
PA-00104,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-03-18,2026-03-23,2026-03-27,59600.40,2980.02,56620.38,0.00,0.00
PA-00105,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-09-21,2025-10-04,2025-10-08,156167.20,7808.36,148358.84,0.00,0.00
PA-00106,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-09-22,2025-10-01,2025-10-06,150574.04,7528.70,143045.34,0.00,0.00
PA-00107,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-07-01,2025-07-09,2025-07-29,83743.45,4187.17,79556.28,0.00,0.00
PA-00108,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-03-18,2025-03-23,2025-03-26,184518.80,9225.94,175292.86,0.00,0.00
PA-00109,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-05-25,2025-06-11,2025-06-18,329206.88,16460.34,312746.54,0.00,0.00
PA-00110,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-02-12,2025-02-20,2025-03-10,139090.46,6954.52,132135.94,0.00,0.00
PA-00111,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-03-16,2025-03-22,2025-04-04,375442.26,18772.11,356670.15,0.00,0.00
PA-00112,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-10-08,2025-10-19,2025-11-07,154468.54,7723.42,146745.12,0.00,0.00
PA-00113,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-02-27,2025-03-04,2025-03-10,104786.28,5239.31,99546.97,0.00,0.00
PA-00114,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-10-16,2025-10-26,2025-11-06,123503.21,6175.16,117328.05,0.00,0.00
PA-00115,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-09-25,2025-10-08,2025-10-15,185582.92,9279.14,176303.78,0.00,0.00
PA-00116,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-08-30,2025-09-08,2025-09-29,548912.76,27445.63,521467.13,0.00,0.00
PA-00117,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-07-08,2025-07-25,2025-07-27,212893.06,10644.65,202248.41,0.00,0.00
PA-00118,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-02-16,2026-02-22,2026-03-14,192959.66,9647.98,183311.68,0.00,0.00
PA-00119,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-10-14,2025-10-28,2025-10-31,107548.90,5377.44,102171.46,0.00,0.00
PA-00120,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-07-02,2025-07-13,2025-07-21,140818.01,7040.90,133777.11,0.00,0.00
PA-00121,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-02-09,2025-02-15,2025-03-04,23941.39,1197.06,22744.33,0.00,0.00
PA-00122,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-11-17,2025-12-04,2025-12-08,278415.64,13920.78,264494.86,0.00,0.00
PA-00123,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-06-12,2026-06-20,2026-07-10,78363.42,3918.17,74445.25,0.00,0.00
PA-00124,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-06-09,2025-06-15,2025-07-06,124540.01,6227.00,118313.01,0.00,0.00
PA-00125,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-04-17,2025-04-29,2025-04-15,25068.53,1253.42,23815.11,0.00,0.00
PA-00126,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-05-01,2025-05-12,2025-05-22,364555.78,18227.78,346328.00,0.00,0.00
PA-00127,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-02-09,2025-02-25,2025-03-10,81937.12,4096.85,77840.27,0.00,0.00
PA-00128,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-02-22,2025-03-07,2025-03-21,45819.47,2290.97,43528.50,0.00,0.00
PA-00129,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-08-03,2026-08-16,2026-08-18,367639.51,18381.97,349257.54,0.00,0.00
PA-00130,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-04-19,2025-05-03,2025-05-18,356942.46,17847.12,339095.34,0.00,0.00
PA-00131,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-11-19,2025-11-30,2025-12-03,487186.31,24359.31,462827.00,0.00,0.00
PA-00132,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-05-07,2025-05-17,2025-05-20,356806.53,17840.32,338966.21,0.00,0.00
PA-00133,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-03-29,2025-04-12,2025-04-18,309756.61,15487.83,294268.78,0.00,0.00
PA-00134,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-07-21,2026-07-31,2026-08-02,221051.00,11052.55,209998.45,0.00,0.00
PA-00135,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-01-13,2026-01-20,2026-02-03,61966.03,3098.30,58867.73,0.00,0.00
PA-00136,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-06-04,2025-06-16,2025-07-05,128844.52,6442.22,122402.30,0.00,0.00
PA-00137,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-02-21,2025-03-08,2025-03-18,96093.70,4804.68,91289.02,0.00,0.00
PA-00138,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-04-26,2026-05-06,2026-05-20,103408.58,5170.42,98238.16,0.00,0.00
