line_ref,application_no,line_no,work_date,site,item_code,description,unit,site_zone,ground_class,quantity,rate_applied,amount,night_work,record_ref
PA-00007-03,PA-00007,3,2025-10-12,S-02 Platform South,E.51.030,"Standing time, tracked excavator and operator",hour,Z1 Compound,,10,312.00,3120.00,N,PS-00066
PA-00007-04,PA-00007,4,2025-10-12,S-02 Platform South,D.41.040,"Capping layer, 300 mm compacted",m2,Z1 Compound,,83,29.99,2489.17,N,CT-00182
PA-00007-05,PA-00007,5,2025-10-14,S-02 Platform South,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z1 Compound,,255,67.40,17187.00,N,
PA-00007-06,PA-00007,6,2025-10-11,S-02 Platform South,A.14.010,"Imported granular fill, placed and compacted",m3,Z1 Compound,,137,48.41,6632.17,N,CT-00179
PA-00007-07,PA-00007,7,2025-10-19,S-02 Platform South,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z1 Compound,G2 Firm Sabkha,141,54.80,7726.80,N,
PA-00007-08,PA-00007,8,2025-10-19,S-02 Platform South,C.32.030,"Precast manhole, 1800 mm diameter, depth to 5 m",no.,Z1 Compound,G3 Cemented Fill,3,3120.00,9360.00,N,PT-00142
PA-00007-09,PA-00007,9,2025-10-23,S-02 Platform South,B.22.030,"Formwork to edges and risers, height to 500 mm",lm,Z1 Compound,,267,42.60,11374.20,N,
PA-00007-10,PA-00007,10,2025-10-10,S-02 Platform South,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z1 Compound,,100,296.00,29600.00,N,
PA-00008-01,PA-00008,1,2026-05-03,S-04 Drainage Corridor,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z1 Compound,G2 Firm Sabkha,134,214.00,28676.00,N,PT-00228
PA-00008-02,PA-00008,2,2026-05-18,S-04 Drainage Corridor,D.41.040,"Capping layer, 300 mm compacted",m2,Z1 Compound,,602,30.97,18643.94,N,CT-00321
PA-00008-03,PA-00008,3,2026-05-18,S-04 Drainage Corridor,C.35.010,CCTV survey of completed drainage run,lm,Z1 Compound,,342,9.40,3214.80,N,CV-00103
PA-00008-04,PA-00008,4,2026-05-16,S-04 Drainage Corridor,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z1 Compound,,362,73.10,26462.20,N,
PA-00008-05,PA-00008,5,2026-05-11,S-04 Drainage Corridor,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z1 Compound,,5,1592.17,7960.85,N,
PA-00008-06,PA-00008,6,2026-05-18,S-04 Drainage Corridor,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z1 Compound,,384,39.71,15248.64,N,CT-00322
PA-00009-01,PA-00009,1,2025-12-24,S-05 Compound Extension,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z3 Wadi Crossing,,1,1818.67,1818.67,N,
PA-00009-02,PA-00009,2,2025-12-15,S-05 Compound Extension,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z3 Wadi Crossing,,57,102.48,5841.36,N,
PA-00009-03,PA-00009,3,2025-12-15,S-05 Compound Extension,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z3 Wadi Crossing,G1 Loose Sand,214,106.69,22831.66,N,
PA-00009-04,PA-00009,4,2025-12-15,S-05 Compound Extension,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z3 Wadi Crossing,G2 Firm Sabkha,231,37.46,8653.26,N,
PA-00009-05,PA-00009,5,2025-12-11,S-05 Compound Extension,B.22.010,"Formwork to vertical faces, basic finish",m2,Z3 Wadi Crossing,,233,79.33,18483.89,N,
PA-00009-06,PA-00009,6,2025-12-25,S-05 Compound Extension,A.12.050,Excavation for manholes and chambers,m3,Z3 Wadi Crossing,G2 Firm Sabkha,413,60.00,24780.00,N,
PA-00009-07,PA-00009,7,2025-12-17,S-05 Compound Extension,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z3 Wadi Crossing,G1 Loose Sand,170,37.46,6368.20,N,
PA-00009-08,PA-00009,8,2025-12-19,S-05 Compound Extension,C.34.010,"Headwall to outfall, precast, bedded",no.,Z3 Wadi Crossing,,2,1104.93,2209.86,N,
PA-00009-09,PA-00009,9,2025-12-19,S-05 Compound Extension,A.14.010,"Imported granular fill, placed and compacted",m3,Z3 Wadi Crossing,,143,55.43,7926.49,N,CT-00227
PA-00009-10,PA-00009,10,2025-12-25,S-05 Compound Extension,C.35.010,CCTV survey of completed drainage run,lm,Z3 Wadi Crossing,,24,10.76,258.24,N,CV-00075
PA-00009-11,PA-00009,11,2025-12-15,S-05 Compound Extension,E.53.010,Attendance on statutory undertaker,day,Z3 Wadi Crossing,,1,389.00,389.00,N,
PA-00009-12,PA-00009,12,2025-12-25,S-05 Compound Extension,A.14.020,Backfilling to trenches with selected arisings,m3,Z3 Wadi Crossing,G2 Firm Sabkha,220,25.65,5643.00,N,
PA-00009-13,PA-00009,13,2025-12-14,S-05 Compound Extension,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z3 Wadi Crossing,,1,1744.98,1744.98,N,DW-00062
PA-00010-01,PA-00010,1,2026-05-06,S-01 Platform North,A.12.060,Trimming of formation to level and gradient,m2,Z2 North Spur,,480,7.31,3508.80,N,
PA-00010-02,PA-00010,2,2026-05-08,S-01 Platform North,B.22.010,"Formwork to vertical faces, basic finish",m2,Z2 North Spur,,390,73.44,28641.60,N,
PA-00010-03,PA-00010,3,2026-05-06,S-01 Platform North,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z2 North Spur,,83,75.47,6264.01,N,
PA-00010-04,PA-00010,4,2026-05-09,S-01 Platform North,A.12.060,Trimming of formation to level and gradient,m2,Z2 North Spur,,257,7.31,1878.67,N,
PA-00010-05,PA-00010,5,2026-05-06,S-01 Platform North,B.21.020,"Reinforced concrete to foundations, C32/40",m3,Z2 North Spur,,140,457.39,64034.60,N,PR-00308
PA-00010-06,PA-00010,6,2026-05-04,S-01 Platform North,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z2 North Spur,,243,15.69,3812.67,N,
PA-00010-07,PA-00010,7,2026-05-04,S-01 Platform North,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,343,474.88,162883.84,N,PR-00307
PA-00010-08,PA-00010,8,2026-05-11,S-01 Platform North,C.34.010,"Headwall to outfall, precast, bedded",no.,Z2 North Spur,,6,1022.90,6137.40,N,
PA-00010-09,PA-00010,9,2026-05-06,S-01 Platform North,B.26.010,"Surface treatment, power float to slabs",m2,Z2 North Spur,,190,18.23,3463.70,N,
PA-00011-01,PA-00011,1,2025-03-11,S-03 Access Road,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z1 Compound,,403,389.00,156767.00,N,PR-00031
PA-00011-02,PA-00011,2,2025-03-13,S-03 Access Road,A.12.060,Trimming of formation to level and gradient,m2,Z1 Compound,,804,6.90,5547.60,N,
PA-00011-03,PA-00011,3,2025-03-07,S-03 Access Road,A.12.030,"Excavation in trench, depth 2 m to 4 m",m3,Z1 Compound,G2 Firm Sabkha,313,47.60,14898.80,N,DX-00026
PA-00011-04,PA-00011,4,2025-03-09,S-03 Access Road,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z1 Compound,,259,71.20,18440.80,N,
PA-00011-05,PA-00011,5,2025-03-07,S-03 Access Road,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z1 Compound,,6,1586.25,9517.50,N,
PA-00012-01,PA-00012,1,2025-06-15,S-03 Access Road,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z3 Wadi Crossing,,811,4.41,3576.51,N,
PA-00012-02,PA-00012,2,2025-06-11,S-03 Access Road,E.51.020,"Traffic management, two-way signals, per day",day,Z3 Wadi Crossing,,1,684.00,684.00,N,
PA-00012-03,PA-00012,3,2025-06-14,S-03 Access Road,C.32.020,Gully pot and connection to carrier drain,no.,Z3 Wadi Crossing,,1,328.62,328.62,N,
PA-00012-04,PA-00012,4,2025-05-30,S-03 Access Road,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z3 Wadi Crossing,,290,141.78,41116.20,N,
PA-00012-05,PA-00012,5,2025-06-11,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z3 Wadi Crossing,,215,16.72,3594.80,N,
PA-00012-06,PA-00012,6,2025-06-03,S-03 Access Road,E.53.010,Attendance on statutory undertaker,day,Z3 Wadi Crossing,,1,389.00,389.00,N,
PA-00012-07,PA-00012,7,2025-06-10,S-03 Access Road,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z3 Wadi Crossing,,809,106.36,86045.24,N,
PA-00012-08,PA-00012,8,2025-06-01,S-03 Access Road,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z3 Wadi Crossing,,7,4719.58,33037.06,N,JS-00083
PA-00012-09,PA-00012,9,2025-06-11,S-03 Access Road,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z3 Wadi Crossing,,267,445.41,118924.47,N,PR-00097
PA-00012-10,PA-00012,10,2025-06-09,S-03 Access Road,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z3 Wadi Crossing,,596,4.41,2628.36,N,
PA-00012-11,PA-00012,11,2025-06-07,S-03 Access Road,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z3 Wadi Crossing,,58,77.17,4475.86,N,
PA-00013-01,PA-00013,1,2025-02-28,S-02 Platform South,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z4 Escarpment,,406,184.37,74854.22,N,JS-00022
PA-00013-02,PA-00013,2,2025-02-27,S-02 Platform South,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z4 Escarpment,G3 Cemented Fill,295,124.06,36597.70,N,
PA-00013-03,PA-00013,3,2025-02-28,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z4 Escarpment,,205,18.94,3882.70,N,
PA-00013-04,PA-00013,4,2025-02-28,S-02 Platform South,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z4 Escarpment,,178,93.57,16655.46,N,
PA-00013-05,PA-00013,5,2025-02-24,S-02 Platform South,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z4 Escarpment,,9,5115.39,46038.51,N,JS-00018
PA-00013-06,PA-00013,6,2025-02-24,S-02 Platform South,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z4 Escarpment,G5 Sound Rock,350,103.28,36148.00,N,
PA-00013-07,PA-00013,7,2025-02-26,S-02 Platform South,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z4 Escarpment,,356,184.37,65635.72,N,JS-00021
PA-00013-08,PA-00013,8,2025-02-27,S-02 Platform South,D.41.050,Bitumen tack coat between courses,m2,Z4 Escarpment,,605,7.94,4803.70,N,
PA-00013-09,PA-00013,9,2025-02-26,S-02 Platform South,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z4 Escarpment,G3 Cemented Fill,575,70.96,40802.00,N,
PA-00013-10,PA-00013,10,2025-02-22,S-02 Platform South,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G1 Loose Sand,66,38.26,2525.16,N,
PA-00014-01,PA-00014,1,2025-04-16,S-02 Platform South,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G2 Firm Sabkha,329,40.70,13390.30,N,
PA-00014-02,PA-00014,2,2025-04-11,S-02 Platform South,C.32.020,Gully pot and connection to carrier drain,no.,Z4 Escarpment,,3,367.36,1102.08,N,
PA-00014-03,PA-00014,3,2025-04-16,S-02 Platform South,B.22.010,"Formwork to vertical faces, basic finish",m2,Z4 Escarpment,,211,88.68,18711.48,N,
PA-00014-04,PA-00014,4,2025-04-16,S-02 Platform South,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z4 Escarpment,,324,86.27,27951.48,N,
PA-00014-05,PA-00014,5,2025-04-16,S-02 Platform South,C.32.020,Gully pot and connection to carrier drain,no.,Z4 Escarpment,,6,367.36,2204.16,N,
PA-00014-06,PA-00014,6,2025-04-14,S-02 Platform South,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z4 Escarpment,,30,114.56,3436.80,N,
PA-00014-07,PA-00014,7,2025-04-12,S-02 Platform South,A.11.030,"Grubbing up tree roots, girth exceeding 600 mm",no.,Z4 Escarpment,,2,189.44,378.88,N,
PA-00014-08,PA-00014,8,2025-04-09,S-02 Platform South,D.41.050,Bitumen tack coat between courses,m2,Z4 Escarpment,,85,7.94,674.90,N,
PA-00014-09,PA-00014,9,2025-04-12,S-02 Platform South,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z4 Escarpment,,1,1050.92,1050.92,N,
PA-00014-10,PA-00014,10,2025-04-09,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z4 Escarpment,,380,18.94,7197.20,N,
PA-00014-11,PA-00014,11,2025-04-16,S-02 Platform South,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z4 Escarpment,,171,54.53,9324.63,N,
PA-00014-12,PA-00014,12,2025-04-10,S-02 Platform South,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z4 Escarpment,G2 Firm Sabkha,6,2380.80,14284.80,N,
PA-00015-01,PA-00015,1,2026-06-18,S-01 Platform North,D.44.010,"Road stud, reflective, bedded in resin",no.,Z2 North Spur,,6,33.71,202.26,N,
PA-00015-02,PA-00015,2,2026-06-15,S-01 Platform North,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z2 North Spur,,3,1686.35,5059.05,N,
PA-00015-03,PA-00015,3,2026-06-20,S-01 Platform North,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z2 North Spur,,87,77.49,6741.63,N,
PA-00015-04,PA-00015,4,2026-06-21,S-01 Platform North,A.14.010,"Imported granular fill, placed and compacted",m3,Z2 North Spur,,128,57.20,7321.60,N,CT-00345
PA-00016-01,PA-00016,1,2026-05-01,S-04 Drainage Corridor,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z2 North Spur,,403,42.09,16962.27,N,CT-00311
PA-00016-02,PA-00016,2,2026-04-29,S-04 Drainage Corridor,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z2 North Spur,,1,1615.44,1615.44,N,DW-00087
PA-00016-03,PA-00016,3,2026-04-30,S-04 Drainage Corridor,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z2 North Spur,,380,45.16,17160.80,N,
PA-00016-04,PA-00016,4,2026-05-05,S-04 Drainage Corridor,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z2 North Spur,G1 Loose Sand,370,58.09,21493.30,N,
PA-00016-05,PA-00016,5,2026-05-05,S-04 Drainage Corridor,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z2 North Spur,,250,4.08,1020.00,N,
PA-00016-06,PA-00016,6,2026-05-03,S-04 Drainage Corridor,D.44.010,"Road stud, reflective, bedded in resin",no.,Z2 North Spur,,2,33.71,67.42,N,
PA-00016-07,PA-00016,7,2026-05-03,S-04 Drainage Corridor,A.14.020,Backfilling to trenches with selected arisings,m3,Z2 North Spur,G5 Sound Rock,140,23.74,3323.60,N,
PA-00016-08,PA-00016,8,2026-05-01,S-04 Drainage Corridor,A.11.030,"Grubbing up tree roots, girth exceeding 600 mm",no.,Z2 North Spur,,8,156.88,1255.04,N,
PA-00016-09,PA-00016,9,2026-05-04,S-04 Drainage Corridor,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z2 North Spur,,301,71.44,21503.44,N,
PA-00016-10,PA-00016,10,2026-05-01,S-04 Drainage Corridor,C.32.020,Gully pot and connection to carrier drain,no.,Z2 North Spur,,3,304.22,912.66,N,
PA-00017-01,PA-00017,1,2025-08-25,S-03 Access Road,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z1 Compound,,314,89.50,28103.00,N,
PA-00017-02,PA-00017,2,2025-08-25,S-03 Access Road,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z1 Compound,G5 Sound Rock,163,51.83,8448.29,N,
