invoice_no,contract_ref,contractor,well_name,rig,field,well_class,period_start,period_end,invoice_date,net_amount,vat_amount,invoice_total,adjustment
MDS-00029,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,13-Jan-2025,16-Jan-2025,08-Feb-2025,119388.55,17908.28,137296.83,0.00
MDS-00030,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,14-Jan-2025,18-Jan-2025,27-Jan-2025,103945.24,15591.79,119537.03,0.00
MDS-00031,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,14-Jan-2025,17-Jan-2025,21-Jan-2025,163950.10,24592.52,188542.62,0.00
MDS-00032,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,15-Jan-2025,18-Jan-2025,31-Jan-2025,89393.79,13409.07,102802.86,0.00
MDS-00033,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,16-Jan-2025,21-Jan-2025,08-Feb-2025,87292.36,13093.85,100386.21,0.00
MDS-00034,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,16-Jan-2025,18-Jan-2025,25-Jan-2025,56971.14,8545.67,65516.81,0.00
MDS-00035,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,16-Jan-2025,19-Jan-2025,25-Jan-2025,88133.92,13220.09,101354.01,0.00
MDS-00036,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,16-Jan-2025,21-Jan-2025,12-Feb-2025,115905.41,17385.81,133291.22,0.00
MDS-00037,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,16-Jan-2025,21-Jan-2025,27-Jan-2025,204519.85,30677.98,235197.83,0.00
MDS-00038,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,17-Jan-2025,21-Jan-2025,17-Mar-2025,84800.45,12720.07,97520.52,0.00
MDS-00039,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,17-Jan-2025,19-Jan-2025,30-Jan-2025,44776.68,6716.50,51493.18,0.00
MDS-00040,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,17-Jan-2025,20-Jan-2025,31-Jan-2025,171427.16,25714.07,197141.23,0.00
MDS-00041,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,17-Jan-2025,21-Jan-2025,08-Feb-2025,97611.90,14641.78,112253.68,0.00
MDS-00042,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,18-Jan-2025,22-Jan-2025,14-Feb-2025,185386.34,27807.95,213194.29,0.00
MDS-00043,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,18-Jan-2025,21-Jan-2025,13-Feb-2025,165055.10,24758.26,189813.36,0.00
MDS-00044,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,19-Jan-2025,23-Jan-2025,04-Feb-2025,117356.98,17603.55,134960.53,0.00
MDS-00045,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,19-Jan-2025,22-Jan-2025,31-Jan-2025,78517.88,11777.68,90295.56,0.00
MDS-00046,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,19-Jan-2025,22-Jan-2025,14-Feb-2025,80226.80,12034.02,92260.82,0.00
MDS-00047,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,20-Jan-2025,25-Jan-2025,02-Feb-2025,181667.19,27250.08,208917.27,0.00
MDS-00048,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,20-Jan-2025,25-Jan-2025,14-Feb-2025,116322.29,17448.34,133770.63,0.00
MDS-00049,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,21-Jan-2025,24-Jan-2025,20-Feb-2025,189558.96,28433.84,217992.80,0.00
MDS-00050,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,22-Jan-2025,24-Jan-2025,01-Feb-2025,58687.82,8803.17,67490.99,0.00
MDS-00051,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,22-Jan-2025,25-Jan-2025,23-Feb-2025,109161.08,16374.16,125535.24,0.00
MDS-00052,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,22-Jan-2025,27-Jan-2025,19-Feb-2025,158982.82,23847.42,182830.24,0.00
MDS-00053,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,22-Jan-2025,24-Jan-2025,21-Feb-2025,90191.65,13528.75,103720.40,0.00
MDS-00054,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,22-Jan-2025,25-Jan-2025,14-Feb-2025,128246.07,19236.91,147482.98,0.00
MDS-00055,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,22-Jan-2025,25-Jan-2025,16-Feb-2025,89209.99,13381.50,102591.49,0.00
MDS-00056,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,23-Jan-2025,26-Jan-2025,15-Feb-2025,87141.56,13071.23,100212.79,0.00
MDS-00057,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,23-Jan-2025,26-Jan-2025,14-Feb-2025,134441.82,20166.27,154608.09,0.00
MDS-00058,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,23-Jan-2025,26-Jan-2025,09-Feb-2025,87448.88,13117.33,100566.21,0.00
MDS-00059,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,24-Jan-2025,26-Jan-2025,10-Feb-2025,79315.90,11897.38,91213.28,0.00
MDS-00060,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,25-Jan-2025,27-Jan-2025,14-Feb-2025,58336.65,8750.50,67087.15,0.00
MDS-00061,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,25-Jan-2025,28-Jan-2025,21-Feb-2025,160206.50,24030.98,184237.48,0.00
MDS-00062,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,25-Jan-2025,27-Jan-2025,11-Feb-2025,117030.42,17554.56,134584.98,0.00
MDS-00063,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,26-Jan-2025,29-Jan-2025,19-Feb-2025,153204.85,22980.73,176185.58,0.00
MDS-00064,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,26-Jan-2025,30-Jan-2025,27-Feb-2025,111866.12,16779.92,128646.04,0.00
MDS-00065,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,26-Jan-2025,29-Jan-2025,11-Feb-2025,125982.02,18897.30,144879.32,0.00
MDS-00066,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,26-Jan-2025,31-Jan-2025,02-Mar-2025,253286.11,37992.92,291279.03,0.00
MDS-00067,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,26-Jan-2025,29-Jan-2025,26-Feb-2025,88341.30,13251.20,101592.50,0.00
MDS-00068,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,27-Jan-2025,30-Jan-2025,26-Feb-2025,102599.65,15389.95,117989.60,0.00
MDS-00069,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,27-Jan-2025,31-Jan-2025,15-Feb-2025,144005.20,21600.78,165605.98,0.00
MDS-00070,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,27-Jan-2025,31-Jan-2025,02-Mar-2025,181315.37,27197.31,208512.68,0.00
MDS-00071,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,27-Jan-2025,01-Feb-2025,23-Feb-2025,134810.44,20221.57,155032.01,0.00
MDS-00072,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,28-Jan-2025,02-Feb-2025,23-Feb-2025,1307552.40,196132.86,1503685.26,0.00
MDS-00073,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,28-Jan-2025,02-Feb-2025,19-Feb-2025,172923.06,25938.46,198861.52,0.00
MDS-00074,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,28-Jan-2025,01-Feb-2025,09-Feb-2025,185714.52,27857.18,213571.70,0.00
MDS-00075,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,29-Jan-2025,02-Feb-2025,21-Feb-2025,216029.51,32404.43,248433.94,0.00
MDS-00076,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,30-Jan-2025,02-Feb-2025,15-Feb-2025,163846.64,24577.00,188423.64,0.00
MDS-00077,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,30-Jan-2025,04-Feb-2025,27-Feb-2025,239723.30,35958.50,275681.80,0.00
MDS-00078,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,30-Jan-2025,03-Feb-2025,08-Feb-2025,118835.78,17825.37,136661.15,0.00
MDS-00079,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,31-Jan-2025,05-Feb-2025,12-Feb-2025,143459.83,21518.97,164978.80,0.00
MDS-00080,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,31-Jan-2025,05-Feb-2025,25-Feb-2025,181386.36,27207.95,208594.31,0.00
MDS-00081,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,01-Feb-2025,04-Feb-2025,11-Feb-2025,99164.76,14874.71,114039.47,0.00
MDS-00082,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-194,NG-Rig 44,Harran,Standard,01-Feb-2025,01-Feb-2025,19-Feb-2025,49751.21,7462.68,57213.89,0.00
MDS-00083,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-141,NG-Rig 35,Wadi Sahm,Standard,01-Feb-2025,05-Feb-2025,08-Feb-2025,194827.31,29224.10,224051.41,0.00
MDS-00084,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,02-Feb-2025,06-Feb-2025,17-Feb-2025,139793.66,20969.05,160762.71,0.00
MDS-00085,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,02-Feb-2025,04-Feb-2025,26-Feb-2025,82177.24,12326.59,94503.83,0.00
MDS-00086,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,03-Feb-2025,08-Feb-2025,18-Feb-2025,155843.44,23376.52,179219.96,0.00
MDS-00087,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,03-Feb-2025,08-Feb-2025,09-Mar-2025,227291.64,34093.75,261385.39,0.00
MDS-00088,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,03-Feb-2025,05-Feb-2025,03-Mar-2025,97646.72,14647.01,112293.73,0.00
MDS-00089,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-070,NG-Rig 23,Burqan Deep,HPHT,03-Feb-2025,04-Feb-2025,18-Feb-2025,88484.61,13272.69,101757.30,0.00
MDS-00090,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-195,NG-Rig 44,Burqan Deep,Standard,03-Feb-2025,05-Feb-2025,22-Feb-2025,76762.94,11514.44,88277.38,0.00
MDS-00091,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,04-Feb-2025,09-Feb-2025,21-Feb-2025,133571.86,20035.78,153607.64,0.00
MDS-00092,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-088,NG-Rig 26,Burqan Deep,HPHT,05-Feb-2025,07-Feb-2025,19-Feb-2025,104209.26,15631.39,119840.65,0.00
MDS-00093,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,05-Feb-2025,07-Feb-2025,06-Mar-2025,134953.43,20243.01,155196.44,0.00
MDS-00094,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,05-Feb-2025,07-Feb-2025,09-Mar-2025,115329.74,17299.46,132629.20,0.00
MDS-00095,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,06-Feb-2025,10-Feb-2025,23-Feb-2025,75690.40,11353.56,87043.96,0.00
MDS-00096,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,06-Feb-2025,11-Feb-2025,24-Feb-2025,166629.44,24994.42,191623.86,0.00
MDS-00097,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,06-Feb-2025,10-Feb-2025,12-Mar-2025,129958.23,19493.73,149451.96,0.00
MDS-00098,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-195,NG-Rig 44,Burqan Deep,Standard,06-Feb-2025,09-Feb-2025,16-Feb-2025,62028.38,9304.26,71332.64,0.00
MDS-00099,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-071,NG-Rig 23,Harran,Extended Reach,07-Feb-2025,12-Feb-2025,06-Mar-2025,123231.94,18484.79,141716.73,0.00
MDS-00100,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-035,NG-Rig 17,Burqan Deep,Extended Reach,07-Feb-2025,09-Feb-2025,07-Mar-2025,99834.50,14975.18,114809.68,0.00
MDS-00101,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-142,NG-Rig 35,Wadi Sahm,Standard,08-Feb-2025,13-Feb-2025,05-Mar-2025,123556.32,18533.45,142089.77,0.00
MDS-00102,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-001,NG-Rig 11,Qarn Alam North,HPHT,08-Feb-2025,11-Feb-2025,02-Mar-2025,183553.27,27532.99,211086.26,0.00
MDS-00103,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-106,NG-Rig 30,Harran,Standard,08-Feb-2025,10-Feb-2025,22-Feb-2025,127457.21,19118.58,146575.79,0.00
MDS-00104,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-177,NG-Rig 41,Burqan Deep,Standard,09-Feb-2025,12-Feb-2025,16-Feb-2025,123933.15,18589.97,142523.12,0.00
MDS-00105,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,09-Feb-2025,12-Feb-2025,16-Feb-2025,157006.12,23550.92,180557.04,0.00
MDS-00106,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-089,NG-Rig 26,Burqan Deep,Extended Reach,09-Feb-2025,11-Feb-2025,04-Mar-2025,80555.86,12083.38,92639.24,0.00
MDS-00107,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-195,NG-Rig 44,Burqan Deep,Standard,10-Feb-2025,12-Feb-2025,03-Mar-2025,37737.77,5660.67,43398.44,0.00
MDS-00108,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,10-Feb-2025,12-Feb-2025,21-Feb-2025,54694.04,8204.11,62898.15,0.00
MDS-00109,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-018,NG-Rig 14,Qarn Alam North,Standard,11-Feb-2025,14-Feb-2025,07-Mar-2025,87225.35,13083.80,100309.15,0.00
MDS-00110,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-159,NG-Rig 38,Qarn Alam North,Extended Reach,11-Feb-2025,12-Feb-2025,01-Mar-2025,77624.02,11643.60,89267.62,0.00
MDS-00111,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-124,NG-Rig 32,Qarn Alam North,Extended Reach,12-Feb-2025,17-Feb-2025,12-Mar-2025,160506.54,24075.98,184582.52,0.00
MDS-00112,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-089,NG-Rig 26,Burqan Deep,Extended Reach,12-Feb-2025,14-Feb-2025,22-Feb-2025,51032.73,7654.91,58687.64,0.00
MDS-00113,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-071,NG-Rig 23,Harran,Extended Reach,13-Feb-2025,15-Feb-2025,22-Feb-2025,51032.73,7654.91,58687.64,0.00
MDS-00114,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-036,NG-Rig 17,Qarn Alam North,Standard,13-Feb-2025,16-Feb-2025,22-Feb-2025,97998.44,14699.77,112698.21,0.00
MDS-00115,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,13-Feb-2025,16-Feb-2025,11-Mar-2025,62268.12,9340.22,71608.34,0.00
MDS-00116,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-195,NG-Rig 44,Burqan Deep,Standard,13-Feb-2025,15-Feb-2025,13-Mar-2025,41327.22,6199.08,47526.30,0.00
MDS-00117,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,13-Feb-2025,15-Feb-2025,21-Feb-2025,45436.98,6815.55,52252.53,0.00
MDS-00118,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-142,NG-Rig 35,Wadi Sahm,Standard,14-Feb-2025,16-Feb-2025,07-Mar-2025,49673.25,7450.99,57124.24,0.00
MDS-00119,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-107,NG-Rig 30,Harran,HPHT,14-Feb-2025,17-Feb-2025,07-Mar-2025,110995.15,16649.27,127644.42,0.00
MDS-00120,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-178,NG-Rig 41,Qarn Alam North,Standard,14-Feb-2025,19-Feb-2025,13-Mar-2025,130849.39,19627.41,150476.80,0.00
MDS-00121,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-002,NG-Rig 11,Burqan Deep,Standard,15-Feb-2025,19-Feb-2025,06-Mar-2025,112758.27,16913.74,129672.01,0.00
MDS-00122,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-089,NG-Rig 26,Burqan Deep,Extended Reach,15-Feb-2025,20-Feb-2025,28-Feb-2025,115454.67,17318.20,132772.87,0.00
MDS-00123,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-071,NG-Rig 23,Harran,Extended Reach,16-Feb-2025,20-Feb-2025,04-Mar-2025,115397.88,17309.68,132707.56,0.00
MDS-00124,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-195,NG-Rig 44,Burqan Deep,Standard,16-Feb-2025,19-Feb-2025,02-Mar-2025,101499.55,15224.93,116724.48,0.00
MDS-00125,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-211,NG-Rig 47,Harran,Standard,16-Feb-2025,19-Feb-2025,27-Feb-2025,87870.40,13180.56,101050.96,0.00
MDS-00126,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-036,NG-Rig 17,Qarn Alam North,Standard,17-Feb-2025,19-Feb-2025,21-Mar-2025,37737.77,5660.67,43398.44,0.00
MDS-00127,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-052,NG-Rig 21,Harran,Extended Reach,17-Feb-2025,18-Feb-2025,03-Mar-2025,59423.47,8913.52,68336.99,0.00
MDS-00128,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-142,NG-Rig 35,Wadi Sahm,Standard,17-Feb-2025,19-Feb-2025,14-Mar-2025,48370.40,7255.56,55625.96,0.00
MDS-00129,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-160,NG-Rig 38,Qarn Alam North,Extended Reach,17-Feb-2025,22-Feb-2025,17-Mar-2025,123721.04,18558.16,142279.20,0.00
