line_ref,invoice_no,line_no,service_date,well_name,service_code,description,unit,hole_section,day_status,depth_from_m,depth_to_m,quantity,unit_rate,amount,report_ref
MDS-00002-025,MDS-00002,25,03-Jan-2025,NGP-WS-141,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-141-20250103
MDS-00002-026,MDS-00002,26,03-Jan-2025,NGP-WS-141,RM-530,Back-reaming while tripping,hour,"26""",Operating,,,7,264.55,1851.85,DDR-141-20250103
MDS-00002-027,MDS-00002,27,04-Jan-2025,NGP-WS-141,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-141-20250104
MDS-00002-028,MDS-00002,28,04-Jan-2025,NGP-WS-141,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-141-20250104
MDS-00002-029,MDS-00002,29,04-Jan-2025,NGP-WS-141,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-141-20250104
MDS-00002-030,MDS-00002,30,04-Jan-2025,NGP-WS-141,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-141-20250104
MDS-00002-031,MDS-00002,31,04-Jan-2025,NGP-WS-141,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,539.65,539.65,DDR-141-20250104
MDS-00002-032,MDS-00002,32,04-Jan-2025,NGP-WS-141,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-141-20250104
MDS-00002-033,MDS-00002,33,04-Jan-2025,NGP-WS-141,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,2571.50,2571.50,DDR-141-20250104
MDS-00002-034,MDS-00002,34,04-Jan-2025,NGP-WS-141,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-141-20250104
MDS-00002-035,MDS-00002,35,04-Jan-2025,NGP-WS-141,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-141-20250104
MDS-00003-001,MDS-00003,1,04-Jan-2025,NGP-BD-088,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-088-20250104
MDS-00003-002,MDS-00003,2,04-Jan-2025,NGP-BD-088,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-088-20250104
MDS-00003-003,MDS-00003,3,04-Jan-2025,NGP-BD-088,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-088-20250104
MDS-00003-004,MDS-00003,4,04-Jan-2025,NGP-BD-088,DD-140,Well planning and anti-collision study,well,"26""",Operating,,,1,12489.50,12489.50,DDR-088-20250104
MDS-00003-005,MDS-00003,5,04-Jan-2025,NGP-BD-088,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-088-20250104
MDS-00003-006,MDS-00003,6,04-Jan-2025,NGP-BD-088,MB-701,Mobilisation to rig site,well,"26""",Operating,,,1,18497.50,18497.50,DDR-088-20250104
MDS-00003-007,MDS-00003,7,04-Jan-2025,NGP-BD-088,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-088-20250104
MDS-00003-008,MDS-00003,8,04-Jan-2025,NGP-BD-088,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-088-20250104
MDS-00003-009,MDS-00003,9,04-Jan-2025,NGP-BD-088,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-088-20250104
MDS-00003-010,MDS-00003,10,05-Jan-2025,NGP-BD-088,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-088-20250105
MDS-00003-011,MDS-00003,11,05-Jan-2025,NGP-BD-088,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-088-20250105
MDS-00003-012,MDS-00003,12,05-Jan-2025,NGP-BD-088,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-088-20250105
MDS-00003-013,MDS-00003,13,05-Jan-2025,NGP-BD-088,DD-130,Gyro survey,survey,"26""",Operating,,,1,2446.15,2446.15,DDR-088-20250105
MDS-00003-014,MDS-00003,14,05-Jan-2025,NGP-BD-088,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-088-20250105
MDS-00003-015,MDS-00003,15,05-Jan-2025,NGP-BD-088,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-088-20250105
MDS-00003-016,MDS-00003,16,05-Jan-2025,NGP-BD-088,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-088-20250105
MDS-00003-017,MDS-00003,17,05-Jan-2025,NGP-BD-088,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-088-20250105
MDS-00003-018,MDS-00003,18,06-Jan-2025,NGP-BD-088,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-088-20250106
MDS-00003-019,MDS-00003,19,06-Jan-2025,NGP-BD-088,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-088-20250106
MDS-00003-020,MDS-00003,20,06-Jan-2025,NGP-BD-088,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-088-20250106
MDS-00003-021,MDS-00003,21,06-Jan-2025,NGP-BD-088,DD-130,Gyro survey,survey,"26""",Operating,,,1,2446.15,2446.15,DDR-088-20250106
MDS-00003-022,MDS-00003,22,06-Jan-2025,NGP-BD-088,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-088-20250106
MDS-00003-023,MDS-00003,23,06-Jan-2025,NGP-BD-088,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-088-20250106
MDS-00003-024,MDS-00003,24,06-Jan-2025,NGP-BD-088,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-088-20250106
MDS-00003-025,MDS-00003,25,06-Jan-2025,NGP-BD-088,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-088-20250106
MDS-00003-026,MDS-00003,26,07-Jan-2025,NGP-BD-088,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-088-20250107
MDS-00003-027,MDS-00003,27,07-Jan-2025,NGP-BD-088,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-088-20250107
MDS-00003-028,MDS-00003,28,07-Jan-2025,NGP-BD-088,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-088-20250107
MDS-00003-029,MDS-00003,29,07-Jan-2025,NGP-BD-088,DD-111,Motor redress and inspection,run,"26""",Operating,,,1,3589.45,3589.45,DDR-088-20250107
MDS-00003-030,MDS-00003,30,07-Jan-2025,NGP-BD-088,HC-610,Wiper trip supervision,trip,"26""",Operating,,,1,1947.15,1947.15,DDR-088-20250107
MDS-00003-031,MDS-00003,31,07-Jan-2025,NGP-BD-088,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-088-20250107
MDS-00003-032,MDS-00003,32,07-Jan-2025,NGP-BD-088,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-088-20250107
MDS-00003-033,MDS-00003,33,07-Jan-2025,NGP-BD-088,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-088-20250107
MDS-00003-034,MDS-00003,34,07-Jan-2025,NGP-BD-088,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-088-20250107
MDS-00003-035,MDS-00003,35,07-Jan-2025,NGP-BD-088,RM-530,Back-reaming while tripping,hour,"26""",Operating,,,4,264.55,1058.20,DDR-088-20250107
MDS-00004-001,MDS-00004,1,04-Jan-2025,NGP-QA-070,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-070-20250104
MDS-00004-002,MDS-00004,2,04-Jan-2025,NGP-QA-070,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-070-20250104
MDS-00004-003,MDS-00004,3,04-Jan-2025,NGP-QA-070,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-070-20250104
MDS-00004-004,MDS-00004,4,04-Jan-2025,NGP-QA-070,DD-140,Well planning and anti-collision study,well,"26""",Operating,,,1,12489.50,12489.50,DDR-070-20250104
MDS-00004-005,MDS-00004,5,04-Jan-2025,NGP-QA-070,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-070-20250104
MDS-00004-006,MDS-00004,6,04-Jan-2025,NGP-QA-070,MB-701,Mobilisation to rig site,well,"26""",Operating,,,1,18497.50,18497.50,DDR-070-20250104
MDS-00004-007,MDS-00004,7,04-Jan-2025,NGP-QA-070,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-070-20250104
MDS-00004-008,MDS-00004,8,04-Jan-2025,NGP-QA-070,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-070-20250104
MDS-00004-009,MDS-00004,9,04-Jan-2025,NGP-QA-070,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-070-20250104
MDS-00004-010,MDS-00004,10,05-Jan-2025,NGP-QA-070,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-070-20250105
MDS-00004-011,MDS-00004,11,05-Jan-2025,NGP-QA-070,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-070-20250105
MDS-00004-012,MDS-00004,12,05-Jan-2025,NGP-QA-070,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-070-20250105
MDS-00004-013,MDS-00004,13,05-Jan-2025,NGP-QA-070,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-070-20250105
MDS-00004-014,MDS-00004,14,05-Jan-2025,NGP-QA-070,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-070-20250105
MDS-00004-015,MDS-00004,15,05-Jan-2025,NGP-QA-070,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-070-20250105
MDS-00004-016,MDS-00004,16,05-Jan-2025,NGP-QA-070,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-070-20250105
MDS-00004-017,MDS-00004,17,06-Jan-2025,NGP-QA-070,DD-101,"Directional driller, 24-hour coverage",person-day,"26""",Operating,,,2,1847.35,3694.70,DDR-070-20250106
MDS-00004-018,MDS-00004,18,06-Jan-2025,NGP-QA-070,DD-102,"Directional coordinator, office based",day,"26""",Operating,,,1,948.60,948.60,DDR-070-20250106
MDS-00004-019,MDS-00004,19,06-Jan-2025,NGP-QA-070,DD-110,Positive displacement motor rental,day,"26""",Operating,,,1,1864.34,1864.34,DDR-070-20250106
MDS-00004-020,MDS-00004,20,06-Jan-2025,NGP-QA-070,DD-111,Motor redress and inspection,run,"26""",Operating,,,1,3589.45,3589.45,DDR-070-20250106
MDS-00004-021,MDS-00004,21,06-Jan-2025,NGP-QA-070,HC-610,Wiper trip supervision,trip,"26""",Operating,,,1,1947.15,1947.15,DDR-070-20250106
MDS-00004-022,MDS-00004,22,06-Jan-2025,NGP-QA-070,HC-620,Drilling jar rental,day,"26""",Operating,,,1,539.65,539.65,DDR-070-20250106
MDS-00004-023,MDS-00004,23,06-Jan-2025,NGP-QA-070,MW-301,MWD engineer,person-day,"26""",Operating,,,2,1646.55,3293.10,DDR-070-20250106
MDS-00004-024,MDS-00004,24,06-Jan-2025,NGP-QA-070,MW-310,MWD directional and gamma tool,day,"26""",Operating,,,1,3913.11,3913.11,DDR-070-20250106
MDS-00004-025,MDS-00004,25,06-Jan-2025,NGP-QA-070,MW-330,Real-time data transmission,day,"26""",Operating,,,1,309.75,309.75,DDR-070-20250106
MDS-00004-026,MDS-00004,26,06-Jan-2025,NGP-QA-070,RM-530,Back-reaming while tripping,hour,"26""",Operating,,,3,264.55,793.65,DDR-070-20250106
MDS-00004-027,MDS-00004,27,07-Jan-2025,NGP-QA-070,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-070-20250107
MDS-00004-028,MDS-00004,28,07-Jan-2025,NGP-QA-070,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-070-20250107
MDS-00004-029,MDS-00004,29,07-Jan-2025,NGP-QA-070,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-070-20250107
MDS-00004-030,MDS-00004,30,07-Jan-2025,NGP-QA-070,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-070-20250107
MDS-00004-031,MDS-00004,31,07-Jan-2025,NGP-QA-070,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,539.65,539.65,DDR-070-20250107
MDS-00004-032,MDS-00004,32,07-Jan-2025,NGP-QA-070,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-070-20250107
MDS-00004-033,MDS-00004,33,07-Jan-2025,NGP-QA-070,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,3407.24,3407.24,DDR-070-20250107
MDS-00004-034,MDS-00004,34,07-Jan-2025,NGP-QA-070,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-070-20250107
MDS-00004-035,MDS-00004,35,07-Jan-2025,NGP-QA-070,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-070-20250107
MDS-00004-036,MDS-00004,36,08-Jan-2025,NGP-QA-070,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-070-20250108
MDS-00004-037,MDS-00004,37,08-Jan-2025,NGP-QA-070,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-070-20250108
MDS-00004-038,MDS-00004,38,08-Jan-2025,NGP-QA-070,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-070-20250108
MDS-00004-039,MDS-00004,39,08-Jan-2025,NGP-QA-070,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-070-20250108
MDS-00004-040,MDS-00004,40,08-Jan-2025,NGP-QA-070,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,539.65,539.65,DDR-070-20250108
MDS-00004-041,MDS-00004,41,08-Jan-2025,NGP-QA-070,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-070-20250108
MDS-00004-042,MDS-00004,42,08-Jan-2025,NGP-QA-070,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,3407.24,3407.24,DDR-070-20250108
MDS-00004-043,MDS-00004,43,08-Jan-2025,NGP-QA-070,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-070-20250108
MDS-00004-044,MDS-00004,44,08-Jan-2025,NGP-QA-070,RM-520,Roller reamer and stabiliser rental,day,"17-1/2""",Operating,,,1,419.85,419.85,DDR-070-20250108
MDS-00004-045,MDS-00004,45,09-Jan-2025,NGP-QA-070,DD-101,"Directional driller, 24-hour coverage",person-day,"17-1/2""",Operating,,,2,1847.35,3694.70,DDR-070-20250109
MDS-00004-046,MDS-00004,46,09-Jan-2025,NGP-QA-070,DD-102,"Directional coordinator, office based",day,"17-1/2""",Operating,,,1,948.60,948.60,DDR-070-20250109
MDS-00004-047,MDS-00004,47,09-Jan-2025,NGP-QA-070,DD-110,Positive displacement motor rental,day,"17-1/2""",Operating,,,1,1623.32,1623.32,DDR-070-20250109
MDS-00004-048,MDS-00004,48,09-Jan-2025,NGP-QA-070,HC-601,Hole cleaning circulating sub,day,"17-1/2""",Operating,,,1,689.35,689.35,DDR-070-20250109
MDS-00004-049,MDS-00004,49,09-Jan-2025,NGP-QA-070,HC-620,Drilling jar rental,day,"17-1/2""",Operating,,,1,539.65,539.65,DDR-070-20250109
MDS-00004-050,MDS-00004,50,09-Jan-2025,NGP-QA-070,MW-301,MWD engineer,person-day,"17-1/2""",Operating,,,2,1646.55,3293.10,DDR-070-20250109
MDS-00004-051,MDS-00004,51,09-Jan-2025,NGP-QA-070,MW-310,MWD directional and gamma tool,day,"17-1/2""",Operating,,,1,3407.24,3407.24,DDR-070-20250109
MDS-00004-052,MDS-00004,52,09-Jan-2025,NGP-QA-070,MW-330,Real-time data transmission,day,"17-1/2""",Operating,,,1,309.75,309.75,DDR-070-20250109
